ID,Language,Form,Cognate Set,Concept,Source
425,San Blas Kuna,ikala,ch,PATH (WAY),Constenla Umaña 2005
426,Cogui,'hiũgula,ch,PATH (WAY),Constenla Umaña 2005
427,Ika,'ingwənɨ,ch,PATH (WAY),Constenla Umaña 2005
428,Damana,inguna,ch,PATH (WAY),Constenla Umaña 2005
429,Chimila,hi:,ch,PATH (WAY),Constenla Umaña 2005
430,Chibcha,ie,ch,PATH (WAY),Constenla Umaña 2005
431,Central Tunebo,'ibita,ch,PATH (WAY),Constenla Umaña 2005
432,Barí,sikɨ,,PATH (WAY),Constenla Umaña 2005
433,Lenca-Salvador,ihwa,a,SING,Constenla Umaña 2005
434,Lenca-Honduras,ikwa,a,SING,Constenla Umaña 2005
435,Cacaopera,bu,,SING,Constenla Umaña 2005
436,Mayangna,umbau,b,SING,Constenla Umaña 2005
437,Ulua,unbau,b,SING,Constenla Umaña 2005
438,Mískito,ajwan,,SING,Constenla Umaña 2005
439,Pech,èjèʃ,,SING,Constenla Umaña 2005
440,Rama,a:kis,,SING,Constenla Umaña 2005
441,Maléku Jaíka,poɾe:te,,SING,Constenla Umaña 2005
442,Boruca,tàbádʒèŋ,,SING,Constenla Umaña 2005
443,Bribri,stsɪ,c,SING,Constenla Umaña 2005
444,Cabécar,ksɪ,c,SING,Constenla Umaña 2005
445,Teribe,tɪ́,c,SING,Constenla Umaña 2005
446,Ngäbere,ka,d,SING,Constenla Umaña 2005
447,Boruca,mo gate,,SING,Constenla Umaña 2005
448,Dorasque,kayi,d,SING,Constenla Umaña 2005
449,San Blas Kuna,namakke,ch,SING,Constenla Umaña 2005
450,Cogui,'mai,e,SING,Constenla Umaña 2005
451,Ika,za'maʒ,e,SING,Constenla Umaña 2005
452,Damana,ʒamai,e,SING,Constenla Umaña 2005
453,Chimila,kitta,,SING,Constenla Umaña 2005
454,Chibcha,tɨ,ch,SING,Constenla Umaña 2005
455,Central Tunebo,'ta,ch,SING,Constenla Umaña 2005
456,Barí,tiba:,,SING,Constenla Umaña 2005
457,Lenca-Salvador,waʃa,a,MEAT,Constenla Umaña 2005
458,Lenca-Honduras,rak,,MEAT,Constenla Umaña 2005
459,Cacaopera,nakat,,MEAT,Constenla Umaña 2005
460,Mayangna,di muihni,,MEAT,Constenla Umaña 2005
461,Ulua,di muihka,,MEAT,Constenla Umaña 2005
462,Mískito,wina,a,MEAT,Constenla Umaña 2005
463,Pech,jùku,,MEAT,Constenla Umaña 2005
464,Rama,kas,,MEAT,Constenla Umaña 2005
465,Maléku Jaíka,ɬiki:,c,MEAT,Constenla Umaña 2005
466,Boruca,ùɾáŋ,ch,MEAT,Constenla Umaña 2005
467,Bribri,tʃká,d,MEAT,Constenla Umaña 2005
468,Cabécar,dʒaka,d,MEAT,Constenla Umaña 2005
469,Teribe,ʃò,e,MEAT,Constenla Umaña 2005
470,Ngäbere,ŋɔtɔ,f,MEAT,Constenla Umaña 2005
471,Boruca,udá,ch,MEAT,Constenla Umaña 2005
472,Dorasque,síá,e,MEAT,Constenla Umaña 2005
473,San Blas Kuna,sana,f,MEAT,Constenla Umaña 2005
474,Cogui,'gata,f,MEAT,Constenla Umaña 2005
475,Ika,'gətʃɨ,f,MEAT,Constenla Umaña 2005
476,Damana,gɨ'ta,f,MEAT,Constenla Umaña 2005
477,Chimila,eŋŋatta,f,MEAT,Constenla Umaña 2005
478,Chibcha,tʲihika,c,MEAT,Constenla Umaña 2005
479,Central Tunebo,'ɾuwa,,MEAT,Constenla Umaña 2005
480,Barí,aidi.,,MEAT,Constenla Umaña 2005
481,Lenca-Salvador,pilil,a,ASH,Constenla Umaña 2005
482,Lenca-Honduras,pokko,,ASH,Constenla Umaña 2005
483,Cacaopera,wabu,b,ASH,Constenla Umaña 2005
484,Mayangna,wan,b,ASH,Constenla Umaña 2005
485,Ulua,kauh,,ASH,Constenla Umaña 2005
486,Mískito,jamhpus,,ASH,Constenla Umaña 2005
487,Pech,tokó,,ASH,Constenla Umaña 2005
488,Rama,pluŋ,a,ASH,Constenla Umaña 2005
489,Maléku Jaíka,puɾu:,a,ASH,Constenla Umaña 2005
490,Boruca,bɾùŋ,a,ASH,Constenla Umaña 2005
491,Bribri,buɺṹ,a,ASH,Constenla Umaña 2005
492,Cabécar,buɺi᷅tú,a,ASH,Constenla Umaña 2005
493,Teribe,ɸɺúŋ,a,ASH,Constenla Umaña 2005
494,Ngäbere,ŋɯbɾɯ,a,ASH,Constenla Umaña 2005
495,Boruca,mnu,a,ASH,Constenla Umaña 2005
496,Dorasque,bulku,a,ASH,Constenla Umaña 2005
497,San Blas Kuna,puɾu,a,ASH,Constenla Umaña 2005
498,Cogui,'muli,a,ASH,Constenla Umaña 2005
499,Ika,'bunzəga,a,ASH,Constenla Umaña 2005
500,Damana,bɨn,a,ASH,Constenla Umaña 2005
501,Chimila,'buhŋaʔ,a,ASH,Constenla Umaña 2005
502,Chibcha,βuskɨ,a,ASH,Constenla Umaña 2005
503,Central Tunebo,'buɾa,a,ASH,Constenla Umaña 2005
504,Barí,ibũdɪ̃,a,ASH,Constenla Umaña 2005
505,Lenca-Salvador,ts'aj,a,FIVE,Constenla Umaña 2005
506,Lenca-Honduras,saj,a,FIVE,Constenla Umaña 2005
507,Cacaopera,dukan panaka,,FIVE,Constenla Umaña 2005
508,Mayangna,sinka,b,FIVE,Constenla Umaña 2005
509,Ulua,sinka,b,FIVE,Constenla Umaña 2005
510,Mískito,matsip,,FIVE,Constenla Umaña 2005
511,Pech,ṍki,,FIVE,Constenla Umaña 2005
512,Rama,kwikistaɾ,,FIVE,Constenla Umaña 2005
513,Maléku Jaíka,otiŋ,c,FIVE,Constenla Umaña 2005
514,Boruca,ʃìskáŋ,ch,FIVE,Constenla Umaña 2005
515,Bribri,skẽ,ch,FIVE,Constenla Umaña 2005
516,Cabécar,skẽ,ch,FIVE,Constenla Umaña 2005
517,Teribe,ʃkíŋ,ch,FIVE,Constenla Umaña 2005
518,Ngäbere,ɾike,ch,FIVE,Constenla Umaña 2005
519,Boruca,tiga,ch,FIVE,Constenla Umaña 2005
520,Dorasque,male,,FIVE,Constenla Umaña 2005
521,San Blas Kuna,attale,,FIVE,Constenla Umaña 2005
522,Cogui,ha'tʃigua,c,FIVE,Constenla Umaña 2005
523,Ika,a'sewa,c,FIVE,Constenla Umaña 2005
524,Damana,əhtʃigua,c,FIVE,Constenla Umaña 2005
525,Chimila,dʒe:mekenta,,FIVE,Constenla Umaña 2005
526,Chibcha,hɨtska,c,FIVE,Constenla Umaña 2005
527,Central Tunebo,e'sia,c,FIVE,Constenla Umaña 2005
528,Barí,koba,,FIVE,Constenla Umaña 2005
529,Lenca-Salvador,ts'oh,,TAIL,Constenla Umaña 2005
530,Lenca-Honduras,wan,a,TAIL,Constenla Umaña 2005
531,Cacaopera,kuna,,TAIL,Constenla Umaña 2005
532,Mayangna,mamah,,TAIL,Constenla Umaña 2005
533,Ulua,umah,,TAIL,Constenla Umaña 2005
534,Mískito,wajka,a,TAIL,Constenla Umaña 2005
535,Pech,pàɾ,b,TAIL,Constenla Umaña 2005
536,Rama,tuk,c,TAIL,Constenla Umaña 2005
537,Maléku Jaíka,tuki:,c,TAIL,Constenla Umaña 2005
538,Boruca,kuàntsá,,TAIL,Constenla Umaña 2005
539,Bribri,baɺḗk,b,TAIL,Constenla Umaña 2005
540,Cabécar,baɺḗk,b,TAIL,Constenla Umaña 2005
541,Teribe,ɸɺàk,b,TAIL,Constenla Umaña 2005
542,Ngäbere,kɯbaɾa,b,TAIL,Constenla Umaña 2005
543,Boruca,skugda,,TAIL,Constenla Umaña 2005
544,Dorasque,dug,c,TAIL,Constenla Umaña 2005
545,San Blas Kuna,punnu,ch,TAIL,Constenla Umaña 2005
546,Cogui,'nugi,c,TAIL,Constenla Umaña 2005
547,Ika,'dʒoʔo,c,TAIL,Constenla Umaña 2005
548,Damana,duʃkɨna,c,TAIL,Constenla Umaña 2005
549,Chimila,bukɾa,ch,TAIL,Constenla Umaña 2005
550,Chibcha,suhuka,c,TAIL,Constenla Umaña 2005
551,Central Tunebo,ɾusta'ɾa,c,TAIL,Constenla Umaña 2005
552,Barí,anikku,,TAIL,Constenla Umaña 2005
553,Lenca-Salvador,rom,,EAT,Constenla Umaña 2005
554,Lenca-Honduras,koɾ,a,EAT,Constenla Umaña 2005
555,Cacaopera,duri,,EAT,Constenla Umaña 2005
556,Mayangna,kas,a,EAT,Constenla Umaña 2005
557,Ulua,kas,a,EAT,Constenla Umaña 2005
558,Mískito,pi,,EAT,Constenla Umaña 2005
559,Pech,ã̀ʔ,,EAT,Constenla Umaña 2005
560,Rama,altuŋwa,b,EAT,Constenla Umaña 2005
561,Maléku Jaíka,laki:,,EAT,Constenla Umaña 2005
562,Boruca,túʔ,b,EAT,Constenla Umaña 2005
563,Bribri,tʃka,e,EAT,Constenla Umaña 2005
564,Cabécar,dʒakɪ,c,EAT,Constenla Umaña 2005
565,Teribe,ií,,EAT,Constenla Umaña 2005
566,Ngäbere,mɾɣɾe,ch,EAT,Constenla Umaña 2005
567,Boruca,bliɾe,ch,EAT,Constenla Umaña 2005
568,Dorasque,kut,d,EAT,Constenla Umaña 2005
569,San Blas Kuna,kunne,d,EAT,Constenla Umaña 2005
570,Cogui,'za,e,EAT,Constenla Umaña 2005
571,Ika,'z,e,EAT,Constenla Umaña 2005
572,Damana,ʒa,e,EAT,Constenla Umaña 2005
573,Chimila,'kenne,,EAT,Constenla Umaña 2005
574,Chibcha,so,,EAT,Constenla Umaña 2005
575,Central Tunebo,ja'jin,,EAT,Constenla Umaña 2005
576,Barí,san,,EAT,Constenla Umaña 2005
577,Lenca-Salvador,teN,a,WITH,Constenla Umaña 2005
578,Lenca-Honduras,man,b,WITH,Constenla Umaña 2005
579,Cacaopera,tiwa,a,WITH,Constenla Umaña 2005
580,Mayangna,karak,c,WITH,Constenla Umaña 2005
581,Ulua,karak,c,WITH,Constenla Umaña 2005
582,Mískito,wal,,WITH,Constenla Umaña 2005
583,Pech,jó,ch,WITH,Constenla Umaña 2005
584,Rama,u,ch,WITH,Constenla Umaña 2005
585,Maléku Jaíka,ʝu,ch,WITH,Constenla Umaña 2005
586,Boruca,màŋ,b,WITH,Constenla Umaña 2005
587,Bribri,tã̀,d,WITH,Constenla Umaña 2005
588,Cabécar,dà,e,WITH,Constenla Umaña 2005
589,Teribe,tʰó,d,WITH,Constenla Umaña 2005
590,Ngäbere,be,b,WITH,Constenla Umaña 2005
591,Boruca,ole,,WITH,Constenla Umaña 2005
592,Dorasque,ba,b,WITH,Constenla Umaña 2005
593,San Blas Kuna,pa,b,WITH,Constenla Umaña 2005
594,Cogui,na,e,WITH,Constenla Umaña 2005
595,Ika,sin,,WITH,Constenla Umaña 2005
596,Damana,nɨn,e,WITH,Constenla Umaña 2005
597,Chimila,ah,f,WITH,Constenla Umaña 2005
598,Chibcha,βohotsa,,WITH,Constenla Umaña 2005
599,Central Tunebo,ʃor,,WITH,Constenla Umaña 2005
600,Barí,ãhã,f,WITH,Constenla Umaña 2005
601,Lenca-Salvador,t'ih,a,CUT,Constenla Umaña 2005
602,Lenca-Honduras,taj,a,CUT,Constenla Umaña 2005
603,Cacaopera,kat,,CUT,Constenla Umaña 2005
604,Mayangna,dak,a,CUT,Constenla Umaña 2005
605,Ulua,dak,a,CUT,Constenla Umaña 2005
606,Mískito,klak,,CUT,Constenla Umaña 2005
607,Pech,tàs,b,CUT,Constenla Umaña 2005
608,Rama,a: ŋtk,e,CUT,Constenla Umaña 2005
609,Maléku Jaíka,ɬati:,,CUT,Constenla Umaña 2005
610,Boruca,tàs,b,CUT,Constenla Umaña 2005
611,Bribri,tɪ,ch,CUT,Constenla Umaña 2005
612,Cabécar,tɪ,ch,CUT,Constenla Umaña 2005
613,Teribe,zí,,CUT,Constenla Umaña 2005
614,Ngäbere,tikekɔ,ch,CUT,Constenla Umaña 2005
615,Boruca,date,,CUT,Constenla Umaña 2005
616,Dorasque,togli,,CUT,Constenla Umaña 2005
617,San Blas Kuna,sikke,,CUT,Constenla Umaña 2005
618,Cogui,'men,,CUT,Constenla Umaña 2005
619,Ika,ɾeʔ'beis,,CUT,Constenla Umaña 2005
620,Damana,koʃ,,CUT,Constenla Umaña 2005
621,Chimila,'ukkwa,,CUT,Constenla Umaña 2005
622,Chibcha,kɨhɨtɨ,,CUT,Constenla Umaña 2005
623,Central Tunebo,kwi'ki,,CUT,Constenla Umaña 2005
624,Barí,a:kd,c,CUT,Constenla Umaña 2005
625,Lenca-Salvador,ts'ats'a,,BARK (TREE),Constenla Umaña 2005
626,Lenca-Honduras,jos,,BARK (TREE),Constenla Umaña 2005
627,Cacaopera,kuta,a,BARK (TREE),Constenla Umaña 2005
628,Mayangna,utak,a,BARK (TREE),Constenla Umaña 2005
629,Ulua,utak,a,BARK (TREE),Constenla Umaña 2005
630,Mískito,taja,,BARK (TREE),Constenla Umaña 2005
631,Pech,kã́wã̀,,BARK (TREE),Constenla Umaña 2005
632,Rama,u:k,b,BARK (TREE),Constenla Umaña 2005
633,Maléku Jaíka,leki:,,BARK (TREE),Constenla Umaña 2005
634,Boruca,kuáʔs,b,BARK (TREE),Constenla Umaña 2005
635,Bribri,axkuʊ́,b,BARK (TREE),Constenla Umaña 2005
636,Cabécar,hkuʊ́,b,BARK (TREE),Constenla Umaña 2005
637,Teribe,kuótà,b,BARK (TREE),Constenla Umaña 2005
638,Ngäbere,kwata,b,BARK (TREE),Constenla Umaña 2005
639,Boruca,kwaɾa,b,BARK (TREE),Constenla Umaña 2005
640,Dorasque,ugá,b,BARK (TREE),Constenla Umaña 2005
641,San Blas Kuna,ukka,b,BARK (TREE),Constenla Umaña 2005
642,Cogui,huba,c,BARK (TREE),Constenla Umaña 2005
643,Ika,'zomɨ,ch,BARK (TREE),Constenla Umaña 2005
644,Damana,ʒoma,ch,BARK (TREE),Constenla Umaña 2005
645,Chimila,ma:nta,,BARK (TREE),Constenla Umaña 2005
646,Chibcha,huka,b,BARK (TREE),Constenla Umaña 2005
647,Central Tunebo,u'ma,c,BARK (TREE),Constenla Umaña 2005
648,Barí,aɨksu,,BARK (TREE),Constenla Umaña 2005
649,Lenca-Salvador,sa,,FOUR,Constenla Umaña 2005
650,Lenca-Honduras,aɾia,a,FOUR,Constenla Umaña 2005
651,Cacaopera,butaru,,FOUR,Constenla Umaña 2005
652,Mayangna,arunka,a,FOUR,Constenla Umaña 2005
653,Ulua,arunka,a,FOUR,Constenla Umaña 2005
654,Mískito,walhwal,,FOUR,Constenla Umaña 2005
655,Pech,kàh,,FOUR,Constenla Umaña 2005
656,Rama,kunkunbi,,FOUR,Constenla Umaña 2005
657,Maléku Jaíka,pake:kiri:,b,FOUR,Constenla Umaña 2005
658,Boruca,báxkàŋ,b,FOUR,Constenla Umaña 2005
659,Bribri,tkɪ,b,FOUR,Constenla Umaña 2005
660,Cabécar,tki,b,FOUR,Constenla Umaña 2005
661,Teribe,bkíŋ,b,FOUR,Constenla Umaña 2005
662,Ngäbere,bɔkɔ,b,FOUR,Constenla Umaña 2005
663,Boruca,baga,b,FOUR,Constenla Umaña 2005
664,Dorasque,paka,b,FOUR,Constenla Umaña 2005
665,San Blas Kuna,pakke,b,FOUR,Constenla Umaña 2005
666,Cogui,ma'keua,b,FOUR,Constenla Umaña 2005
667,Ika,maʔ'keiwa,b,FOUR,Constenla Umaña 2005
668,Damana,makegwa,b,FOUR,Constenla Umaña 2005
669,Chimila,bridʒeʔe,,FOUR,Constenla Umaña 2005
670,Chibcha,mɨhɨka,b,FOUR,Constenla Umaña 2005
671,Central Tunebo,ba'kaja,b,FOUR,Constenla Umaña 2005
672,Barí,asanikdãɪ̃,,FOUR,Constenla Umaña 2005
673,Lenca-Salvador,t'aNt'aN,,NECK,Constenla Umaña 2005
674,Lenca-Honduras,sala,,NECK,Constenla Umaña 2005
675,Cacaopera,tsaw,,NECK,Constenla Umaña 2005
676,Mayangna,dimak,,NECK,Constenla Umaña 2005
677,Ulua,ma:mak,,NECK,Constenla Umaña 2005
678,Mískito,nana,a,NECK,Constenla Umaña 2005
679,Pech,táwásã́,,NECK,Constenla Umaña 2005
680,Rama,ki:ŋkat,,NECK,Constenla Umaña 2005
681,Maléku Jaíka,ko:lo,b,NECK,Constenla Umaña 2005
682,Boruca,ìŋsá,,NECK,Constenla Umaña 2005
683,Bribri,kuɺǐʔ,c,NECK,Constenla Umaña 2005
684,Cabécar,kulí,c,NECK,Constenla Umaña 2005
685,Teribe,bɪ̀ŋdó,,NECK,Constenla Umaña 2005
686,Ngäbere,ɾɔɾɔ,a,NECK,Constenla Umaña 2005
687,Boruca,siɾoska,,NECK,Constenla Umaña 2005
688,Dorasque,polé,ch,NECK,Constenla Umaña 2005
689,San Blas Kuna,tukkarwala,,NECK,Constenla Umaña 2005
690,Cogui,'gagla,b,NECK,Constenla Umaña 2005
691,Ika,'gaʔnɨ,b,NECK,Constenla Umaña 2005
692,Damana,'gana,b,NECK,Constenla Umaña 2005
693,Chimila,'ɾuggwaʔ,,NECK,Constenla Umaña 2005
694,Chibcha,gɨ,b,NECK,Constenla Umaña 2005
695,Central Tunebo,'jaʔnkukaɾa,,NECK,Constenla Umaña 2005
696,Barí,bo:,ch,NECK,Constenla Umaña 2005
697,Lenca-Salvador,mik,a,GIVE,Constenla Umaña 2005
698,Lenca-Honduras,jaɾ,,GIVE,Constenla Umaña 2005
699,Cacaopera,a,b,GIVE,Constenla Umaña 2005
700,Mayangna,a:,b,GIVE,Constenla Umaña 2005
701,Ulua,a:,b,GIVE,Constenla Umaña 2005
702,Mískito,k,,GIVE,Constenla Umaña 2005
703,Pech,ã̀h,b,GIVE,Constenla Umaña 2005
704,Rama,taŋ,c,GIVE,Constenla Umaña 2005
705,Maléku Jaíka,ta:,c,GIVE,Constenla Umaña 2005
706,Boruca,dóʔ,ch,GIVE,Constenla Umaña 2005
707,Bribri,abẽ,d,GIVE,Constenla Umaña 2005
708,Cabécar,bẽ,d,GIVE,Constenla Umaña 2005
709,Teribe,sɪ́ŋ,,GIVE,Constenla Umaña 2005
710,Ngäbere,bĩ,d,GIVE,Constenla Umaña 2005
711,Boruca,kete,,GIVE,Constenla Umaña 2005
712,Dorasque,do,ch,GIVE,Constenla Umaña 2005
713,San Blas Kuna,ukke,,GIVE,Constenla Umaña 2005
714,Cogui,a'kau,e,GIVE,Constenla Umaña 2005
715,Ika,aʔ'wes,,GIVE,Constenla Umaña 2005
716,Damana,akau,e,GIVE,Constenla Umaña 2005
717,Chimila,seʔdʒdʒaʔ,,GIVE,Constenla Umaña 2005
718,Chibcha,nɨ,c,GIVE,Constenla Umaña 2005
719,Central Tunebo,'wik,a,GIVE,Constenla Umaña 2005
720,Barí,ina,c,GIVE,Constenla Umaña 2005
721,Lenca-Salvador,aj,a,SAY,Constenla Umaña 2005
722,Lenca-Honduras,aj,a,SAY,Constenla Umaña 2005
723,Cacaopera,na,,SAY,Constenla Umaña 2005
724,Mayangna,at,b,SAY,Constenla Umaña 2005
725,Ulua,at,b,SAY,Constenla Umaña 2005
726,Mískito,wi,,SAY,Constenla Umaña 2005
727,Pech,tìʔ,,SAY,Constenla Umaña 2005
728,Rama,auŋ,,SAY,Constenla Umaña 2005
729,Maléku Jaíka,ki:,c,SAY,Constenla Umaña 2005
730,Boruca,dʒuàk,ch,SAY,Constenla Umaña 2005
731,Bribri,dʒɪ,c,SAY,Constenla Umaña 2005
732,Cabécar,dʒɪ,c,SAY,Constenla Umaña 2005
733,Teribe,ɺí,,SAY,Constenla Umaña 2005
734,Ngäbere,ŋeɾe,,SAY,Constenla Umaña 2005
735,Boruca,dgwenedu,,SAY,Constenla Umaña 2005
736,Dorasque,,,SAY,Constenla Umaña 2005
737,San Blas Kuna,soke,ch,SAY,Constenla Umaña 2005
738,Cogui,'guaʃ,ch,SAY,Constenla Umaña 2005
739,Ika,gwak,ch,SAY,Constenla Umaña 2005
740,Damana,gwaʃ,ch,SAY,Constenla Umaña 2005
741,Chimila,dʒakk,,SAY,Constenla Umaña 2005
742,Chibcha,gu,ch,SAY,Constenla Umaña 2005
743,Central Tunebo,wa'ki,ch,SAY,Constenla Umaña 2005
744,Barí,ib,,SAY,Constenla Umaña 2005
745,Lenca-Salvador,neh,a,TOOTH,Constenla Umaña 2005
746,Lenca-Honduras,nek,a,TOOTH,Constenla Umaña 2005
747,Cacaopera,nini,a,TOOTH,Constenla Umaña 2005
748,Mayangna,ana,b,TOOTH,Constenla Umaña 2005
749,Ulua,ana,b,TOOTH,Constenla Umaña 2005
750,Mískito,napa,b,TOOTH,Constenla Umaña 2005
751,Pech,kĩ́́ʔ,,TOOTH,Constenla Umaña 2005
752,Rama,si:k,a,TOOTH,Constenla Umaña 2005
753,Maléku Jaíka,oka:,c,TOOTH,Constenla Umaña 2005
754,Boruca,síʔ,,TOOTH,Constenla Umaña 2005
755,Bribri,aká,c,TOOTH,Constenla Umaña 2005
756,Cabécar,kà,c,TOOTH,Constenla Umaña 2005
757,Teribe,kòuó,c,TOOTH,Constenla Umaña 2005
758,Ngäbere,tu,ch,TOOTH,Constenla Umaña 2005
759,Boruca,dau,,TOOTH,Constenla Umaña 2005
760,Dorasque,su,ch,TOOTH,Constenla Umaña 2005
761,San Blas Kuna,nukala,ch,TOOTH,Constenla Umaña 2005
762,Cogui,hu'ala,,TOOTH,Constenla Umaña 2005
763,Ika,'kəkkɨ,d,TOOTH,Constenla Umaña 2005
764,Damana,kɨ'kka,d,TOOTH,Constenla Umaña 2005
765,Chimila,di:,a,TOOTH,Constenla Umaña 2005
766,Chibcha,sika,a,TOOTH,Constenla Umaña 2005
767,Central Tunebo,'ɾuʔɾa,e,TOOTH,Constenla Umaña 2005
768,Barí,nunu:,e,TOOTH,Constenla Umaña 2005
769,Lenca-Salvador,pa,,SLEEP,Constenla Umaña 2005
770,Lenca-Honduras,saɾ,a,SLEEP,Constenla Umaña 2005
771,Cacaopera,jabuna,b,SLEEP,Constenla Umaña 2005
772,Mayangna,kami,c,SLEEP,Constenla Umaña 2005
773,Ulua,ama,c,SLEEP,Constenla Umaña 2005
774,Mískito,jap,b,SLEEP,Constenla Umaña 2005
775,Pech,ók,,SLEEP,Constenla Umaña 2005
776,Rama,kami,c,SLEEP,Constenla Umaña 2005
777,Maléku Jaíka,tʃu:xi,,SLEEP,Constenla Umaña 2005
778,Boruca,kàb,c,SLEEP,Constenla Umaña 2005
779,Bribri,kapɪ,c,SLEEP,Constenla Umaña 2005
780,Cabécar,kapɪ,c,SLEEP,Constenla Umaña 2005
781,Teribe,pɪ́,c,SLEEP,Constenla Umaña 2005
782,Ngäbere,kimɪ̃,c,SLEEP,Constenla Umaña 2005
783,Boruca,gbe,c,SLEEP,Constenla Umaña 2005
784,Dorasque,kabi,c,SLEEP,Constenla Umaña 2005
785,San Blas Kuna,kape,c,SLEEP,Constenla Umaña 2005
786,Cogui,ka'ba,c,SLEEP,Constenla Umaña 2005
787,Ika,'kəmm,c,SLEEP,Constenla Umaña 2005
788,Damana,kɨũ,c,SLEEP,Constenla Umaña 2005
789,Chimila,sa:ɾa,a,SLEEP,Constenla Umaña 2005
790,Chibcha,kɨβɨ,c,SLEEP,Constenla Umaña 2005
791,Central Tunebo,'kami,c,SLEEP,Constenla Umaña 2005
792,Barí,kab,c,SLEEP,Constenla Umaña 2005
793,Lenca-Salvador,pe,a,TWO,Constenla Umaña 2005
794,Lenca-Honduras,pe,a,TWO,Constenla Umaña 2005
795,Cacaopera,buru,a,TWO,Constenla Umaña 2005
796,Mayangna,bu,a,TWO,Constenla Umaña 2005
797,Ulua,bu,a,TWO,Constenla Umaña 2005
798,Mískito,wal,,TWO,Constenla Umaña 2005
799,Pech,pók,a,TWO,Constenla Umaña 2005
800,Rama,puksak,a,TWO,Constenla Umaña 2005
801,Maléku Jaíka,pauŋka,a,TWO,Constenla Umaña 2005
802,Boruca,búʔk,a,TWO,Constenla Umaña 2005
803,Bribri,bʊ,a,TWO,Constenla Umaña 2005
804,Cabécar,bo,a,TWO,Constenla Umaña 2005
805,Teribe,bʊ́,a,TWO,Constenla Umaña 2005
806,Ngäbere,bu,a,TWO,Constenla Umaña 2005
807,Boruca,boke,a,TWO,Constenla Umaña 2005
808,Dorasque,mo,a,TWO,Constenla Umaña 2005
809,San Blas Kuna,po:,a,TWO,Constenla Umaña 2005
810,Cogui,'mauʒua,a,TWO,Constenla Umaña 2005
811,Ika,'mouga,a,TWO,Constenla Umaña 2005
812,Damana,mowa,a,TWO,Constenla Umaña 2005
813,Chimila,buhna,a,TWO,Constenla Umaña 2005
814,Chibcha,bo,a,TWO,Constenla Umaña 2005
815,Central Tunebo,bu'kaja,a,TWO,Constenla Umaña 2005
816,Barí,ĩsãmĩ,,TWO,Constenla Umaña 2005
817,Lenca-Salvador,inani,a,HE,Constenla Umaña 2005
818,Lenca-Honduras,inan,a,HE,Constenla Umaña 2005
819,Cacaopera,'karahi,b,HE,Constenla Umaña 2005
820,Mayangna,witiŋ,c,HE,Constenla Umaña 2005
821,Ulua,alas,b,HE,Constenla Umaña 2005
822,Mískito,witin,c,HE,Constenla Umaña 2005
823,Pech,èkà,ch,HE,Constenla Umaña 2005
824,Rama,jaiŋ,a,HE,Constenla Umaña 2005
825,Maléku Jaíka,ni:,d,HE,Constenla Umaña 2005
826,Boruca,ì,a,HE,Constenla Umaña 2005
827,Bribri,iěʔ,a,HE,Constenla Umaña 2005
828,Cabécar,hié,a,HE,Constenla Umaña 2005
829,Teribe,è,ch,HE,Constenla Umaña 2005
830,Ngäbere,niaɾa,d,HE,Constenla Umaña 2005
831,Boe,ama,e,HE,Constenla Umaña 2005
832,Dorasque,kúi,,HE,Constenla Umaña 2005
833,San Blas Kuna,itti,a,HE,Constenla Umaña 2005
834,Cogui,'ale,e,HE,Constenla Umaña 2005
835,Ika,a,e,HE,Constenla Umaña 2005
836,Damana,na,,HE,Constenla Umaña 2005
837,Chimila,noggwe,,HE,Constenla Umaña 2005
838,Chibcha,asɨ,ch,HE,Constenla Umaña 2005
839,Central Tunebo,'eja,ch,HE,Constenla Umaña 2005
840,Barí,obãĩ́,,HE,Constenla Umaña 2005
841,Lenca-Salvador,k'ati,a,AT,Constenla Umaña 2005
842,Lenca-Honduras,ap,b,AT,Constenla Umaña 2005
843,Cacaopera,m,b,AT,Constenla Umaña 2005
844,Mayangna,kat,a,AT,Constenla Umaña 2005
845,Ulua,kat,a,AT,Constenla Umaña 2005
846,Mískito,ɾa,c,AT,Constenla Umaña 2005
847,Pech,jã́,ch,AT,Constenla Umaña 2005
848,Rama,ka,a,AT,Constenla Umaña 2005
849,Maléku Jaíka,ko,a,AT,Constenla Umaña 2005
850,Boruca,kà,a,AT,Constenla Umaña 2005
851,Bribri,iã̀,ch,AT,Constenla Umaña 2005
852,Cabécar,skà,d,AT,Constenla Umaña 2005
853,Teribe,ʃkò,d,AT,Constenla Umaña 2005
854,Ngäbere,te,,AT,Constenla Umaña 2005
855,Boe,ske,d,AT,Constenla Umaña 2005
856,Dorasque,ga,a,AT,Constenla Umaña 2005
857,San Blas Kuna,ki,e,AT,Constenla Umaña 2005
858,Cogui,ka,a,AT,Constenla Umaña 2005
859,Ika,ekɨ,a,AT,Constenla Umaña 2005
860,Damana,ka,a,AT,Constenla Umaña 2005
861,Chimila,la,c,AT,Constenla Umaña 2005
862,Chibcha,na,e,AT,Constenla Umaña 2005
863,Central Tunebo,kwi'taɾa,,AT,Constenla Umaña 2005
864,Barí,aki,e,AT,Constenla Umaña 2005
865,Lenca-Salvador,inaga,a,THIS,Constenla Umaña 2005
866,Lenca-Honduras,na,b,THIS,Constenla Umaña 2005
867,Cacaopera,irahi,a,THIS,Constenla Umaña 2005
